age,career,lifestyle,choice,happiness,success,finance
50,Teacher,Luxurious,Entrepreneurship,69.85,81.66,77.86
21,Lawyer,Adventure-seeker,Corporate Ladder,57.42,93.49,76.61
32,Software Engineer,Adventure-seeker,Academic Excellence,76.57,81.42,59.86
36,Marketing,Family-focused,Entrepreneurship,82.15,79.0,62.68
49,Artist,Career-driven,Entrepreneurship,64.76,96.95,100.0
21,Doctor,Family-focused,Entrepreneurship,78.58,81.14,73.61
30,Doctor,Minimalist,World Explorer,96.83,67.47,45.69
39,Business Owner,Adventure-seeker,Academic Excellence,67.96,100.0,86.32
51,Doctor,Minimalist,Creative Pursuit,86.73,76.0,58.91
37,Finance,Minimalist,Work-Life Balance,90.99,83.2,76.98
22,Business Owner,Career-driven,World Explorer,87.27,86.09,76.32
36,Doctor,Balanced,Corporate Ladder,64.37,100.0,100.0
52,Writer,Luxurious,World Explorer,88.35,75.47,64.33
33,Lawyer,Balanced,Creative Pursuit,80.03,78.18,82.82
21,Software Engineer,Career-driven,World Explorer,77.38,80.08,75.43
54,Marketing,Minimalist,Corporate Ladder,59.55,91.11,84.11
20,Lawyer,Balanced,Creative Pursuit,76.22,83.82,71.04
31,Business Owner,Balanced,Corporate Ladder,59.23,97.24,100.0
50,Teacher,Luxurious,Academic Excellence,76.48,82.19,83.97
40,Business Owner,Career-driven,Creative Pursuit,72.87,100.0,80.01
50,Artist,Career-driven,Corporate Ladder,49.47,100.0,100.0
55,Teacher,Luxurious,World Explorer,93.45,76.84,65.31
49,Writer,Family-focused,Work-Life Balance,89.41,77.54,56.99
44,Business Owner,Minimalist,Work-Life Balance,75.12,78.58,75.97
23,Artist,Career-driven,Academic Excellence,56.75,87.03,71.01
33,Marketing,Minimalist,Creative Pursuit,77.59,67.76,49.52
51,Business Owner,Family-focused,Entrepreneurship,78.11,88.62,100.0
36,Software Engineer,Minimalist,Work-Life Balance,91.24,78.67,75.74
45,Marketing,Balanced,Entrepreneurship,64.85,79.33,94.81
50,Software Engineer,Career-driven,Corporate Ladder,44.23,100.0,100.0
34,Marketing,Family-focused,Entrepreneurship,73.01,66.64,85.66
52,Finance,Minimalist,Academic Excellence,67.75,98.29,87.48
19,Marketing,Family-focused,World Explorer,91.28,47.99,28.89
26,Artist,Balanced,Academic Excellence,71.8,91.72,59.9
20,Marketing,Luxurious,Work-Life Balance,84.95,62.72,68.12
28,Scientist,Luxurious,Work-Life Balance,69.72,68.42,76.99
28,Writer,Balanced,Corporate Ladder,69.39,81.3,70.92
26,Software Engineer,Balanced,Entrepreneurship,66.78,79.41,83.97
40,Marketing,Career-driven,Creative Pursuit,79.81,80.13,63.57
27,Finance,Minimalist,Entrepreneurship,80.12,83.62,75.19
34,Writer,Balanced,Creative Pursuit,95.16,68.97,52.0
51,Business Owner,Adventure-seeker,Academic Excellence,65.1,95.98,83.57
50,Marketing,Adventure-seeker,Work-Life Balance,81.06,65.21,53.88
23,Writer,Minimalist,Corporate Ladder,76.93,84.71,58.71
26,Marketing,Luxurious,Work-Life Balance,83.59,61.07,76.97
54,Marketing,Balanced,Corporate Ladder,55.61,92.77,100.0
20,Software Engineer,Adventure-seeker,World Explorer,98.73,72.41,40.23
21,Software Engineer,Balanced,World Explorer,94.07,78.57,70.89
36,Writer,Career-driven,Entrepreneurship,73.25,94.44,63.2
41,Doctor,Minimalist,Work-Life Balance,83.3,81.81,75.03
25,Doctor,Balanced,Corporate Ladder,47.02,90.84,100.0
25,Business Owner,Luxurious,Corporate Ladder,41.66,86.72,100.0
51,Writer,Career-driven,Creative Pursuit,83.76,100.0,74.63
30,Business Owner,Adventure-seeker,Academic Excellence,70.93,88.7,68.61
29,Software Engineer,Luxurious,Corporate Ladder,40.44,86.56,100.0
55,Lawyer,Balanced,Academic Excellence,59.42,95.66,100.0
38,Doctor,Minimalist,Corporate Ladder,51.22,87.99,97.73
19,Doctor,Luxurious,Academic Excellence,63.57,89.54,95.53
44,Marketing,Adventure-seeker,Academic Excellence,70.18,76.26,67.72
45,Doctor,Minimalist,Academic Excellence,75.07,94.37,75.54
55,Teacher,Balanced,Corporate Ladder,61.81,91.03,95.48
40,Lawyer,Balanced,Academic Excellence,56.28,99.01,93.27
20,Business Owner,Minimalist,Creative Pursuit,90.68,79.75,54.37
41,Writer,Family-focused,Entrepreneurship,75.4,78.97,94.62
55,Doctor,Balanced,Corporate Ladder,45.39,100.0,100.0
49,Artist,Balanced,Work-Life Balance,91.24,80.4,75.3
27,Doctor,Luxurious,Work-Life Balance,81.29,68.65,90.55
33,Scientist,Family-focused,Entrepreneurship,78.48,76.79,71.96
37,Business Owner,Family-focused,World Explorer,100.0,82.2,70.85
24,Writer,Balanced,Corporate Ladder,60.83,96.07,83.45
42,Lawyer,Luxurious,Academic Excellence,53.28,95.83,100.0
42,Marketing,Luxurious,Entrepreneurship,68.31,67.74,92.09
51,Artist,Career-driven,Entrepreneurship,60.04,93.47,95.94
19,Marketing,Adventure-seeker,Creative Pursuit,89.56,69.41,36.09
38,Writer,Luxurious,Creative Pursuit,90.55,72.91,75.66
50,Doctor,Family-focused,Work-Life Balance,88.36,86.85,94.19
29,Software Engineer,Adventure-seeker,Academic Excellence,71.75,76.94,74.0
35,Lawyer,Luxurious,Corporate Ladder,46.6,83.94,100.0
33,Scientist,Luxurious,Corporate Ladder,43.46,74.72,89.73
44,Marketing,Adventure-seeker,Corporate Ladder,68.11,81.91,81.49
54,Artist,Family-focused,Entrepreneurship,82.67,69.87,90.47
22,Business Owner,Career-driven,Work-Life Balance,67.95,100.0,90.85
55,Doctor,Balanced,Corporate Ladder,57.35,100.0,100.0
38,Doctor,Minimalist,Work-Life Balance,86.03,70.7,85.49
22,Teacher,Adventure-seeker,Corporate Ladder,79.36,78.57,52.19
22,Lawyer,Luxurious,Academic Excellence,50.72,85.09,90.96
54,Artist,Luxurious,Corporate Ladder,53.95,88.47,94.71
18,Marketing,Career-driven,Entrepreneurship,62.76,87.59,96.35
26,Writer,Luxurious,Creative Pursuit,85.41,61.12,57.63
40,Teacher,Adventure-seeker,Academic Excellence,83.03,84.88,57.68
52,Software Engineer,Luxurious,Corporate Ladder,56.33,100.0,100.0
29,Teacher,Minimalist,Entrepreneurship,80.11,78.5,49.89
54,Lawyer,Adventure-seeker,Corporate Ladder,72.54,89.72,95.09
53,Finance,Career-driven,Work-Life Balance,67.63,100.0,99.86
35,Finance,Family-focused,Work-Life Balance,77.9,89.89,86.84
53,Lawyer,Minimalist,World Explorer,92.48,86.94,58.47
47,Writer,Adventure-seeker,Work-Life Balance,93.37,61.79,51.44
40,Scientist,Career-driven,Corporate Ladder,47.82,97.05,95.69
18,Business Owner,Adventure-seeker,Work-Life Balance,88.2,66.34,63.39
26,Artist,Minimalist,World Explorer,97.2,64.3,36.16
28,Scientist,Luxurious,Creative Pursuit,80.84,71.2,65.57
49,Doctor,Balanced,Academic Excellence,60.08,100.0,98.71
55,Scientist,Career-driven,Work-Life Balance,61.95,97.58,85.58
28,Lawyer,Minimalist,Creative Pursuit,94.54,81.12,47.51
44,Teacher,Career-driven,Creative Pursuit,77.87,97.26,73.85
55,Scientist,Balanced,Corporate Ladder,55.68,100.0,99.28
34,Business Owner,Luxurious,Corporate Ladder,55.63,88.99,100.0
40,Doctor,Adventure-seeker,World Explorer,100.0,71.2,57.3
18,Marketing,Balanced,World Explorer,91.48,56.62,50.52
20,Teacher,Adventure-seeker,Entrepreneurship,91.44,74.28,29.39
28,Scientist,Luxurious,Entrepreneurship,58.39,76.81,82.91
34,Business Owner,Career-driven,Creative Pursuit,73.04,91.98,91.53
35,Lawyer,Minimalist,Corporate Ladder,63.46,92.46,82.69
43,Lawyer,Minimalist,Corporate Ladder,63.19,88.88,96.86
45,Business Owner,Career-driven,Creative Pursuit,80.94,100.0,95.74
18,Teacher,Adventure-seeker,Work-Life Balance,97.01,59.35,32.94
36,Finance,Minimalist,Entrepreneurship,73.82,89.96,100.0
36,Finance,Balanced,Corporate Ladder,51.34,100.0,100.0
53,Artist,Career-driven,Work-Life Balance,77.18,86.31,79.34
33,Artist,Adventure-seeker,World Explorer,100.0,54.37,36.46
24,Doctor,Career-driven,Work-Life Balance,65.46,85.78,85.04
42,Artist,Adventure-seeker,Creative Pursuit,100.0,74.3,36.27
52,Scientist,Luxurious,World Explorer,91.91,77.17,65.58
22,Lawyer,Family-focused,Corporate Ladder,63.51,91.33,91.67
31,Writer,Adventure-seeker,Academic Excellence,88.18,69.4,53.47
47,Teacher,Balanced,Work-Life Balance,91.61,89.98,68.24
32,Software Engineer,Adventure-seeker,Creative Pursuit,98.08,69.89,59.13
39,Writer,Luxurious,Entrepreneurship,79.59,74.42,100.0
51,Business Owner,Adventure-seeker,Academic Excellence,66.93,100.0,87.74
54,Lawyer,Family-focused,Entrepreneurship,80.65,84.03,94.49
52,Teacher,Luxurious,Creative Pursuit,85.08,64.17,74.43
28,Business Owner,Adventure-seeker,Corporate Ladder,68.49,93.41,92.99
19,Teacher,Balanced,Entrepreneurship,72.12,84.58,44.96
55,Business Owner,Balanced,Academic Excellence,66.9,100.0,98.15
19,Finance,Family-focused,Entrepreneurship,80.16,89.89,95.79
28,Business Owner,Luxurious,Corporate Ladder,55.09,97.82,100.0
35,Finance,Balanced,Corporate Ladder,55.71,100.0,100.0
21,Marketing,Family-focused,Entrepreneurship,68.1,71.76,67.39
37,Teacher,Adventure-seeker,Work-Life Balance,93.05,64.96,44.28
19,Business Owner,Adventure-seeker,Corporate Ladder,61.3,84.64,82.05
25,Marketing,Career-driven,Corporate Ladder,43.6,92.88,86.7
40,Doctor,Minimalist,World Explorer,90.89,65.69,52.33
38,Scientist,Minimalist,Entrepreneurship,73.53,67.74,67.57
21,Scientist,Career-driven,Entrepreneurship,55.87,94.93,88.07
46,Scientist,Family-focused,Creative Pursuit,82.26,65.79,46.69
26,Software Engineer,Minimalist,Entrepreneurship,67.9,73.92,69.16
50,Software Engineer,Adventure-seeker,Creative Pursuit,100.0,74.02,70.58
22,Writer,Minimalist,Academic Excellence,69.62,76.75,56.22
28,Finance,Adventure-seeker,Work-Life Balance,80.72,76.45,66.43
35,Software Engineer,Career-driven,Creative Pursuit,74.33,99.49,78.89
22,Finance,Minimalist,Academic Excellence,60.65,93.71,75.81
25,Scientist,Luxurious,Work-Life Balance,69.56,70.53,71.01
46,Lawyer,Luxurious,Entrepreneurship,74.22,79.62,100.0
34,Doctor,Family-focused,Creative Pursuit,80.36,84.53,60.9
50,Marketing,Minimalist,World Explorer,98.5,63.25,49.92
55,Writer,Balanced,Corporate Ladder,64.18,96.39,88.83
19,Writer,Minimalist,Creative Pursuit,100.0,56.1,30.28
55,Software Engineer,Luxurious,Corporate Ladder,47.85,100.0,100.0
36,Teacher,Family-focused,Creative Pursuit,96.12,61.77,49.47
42,Marketing,Luxurious,Corporate Ladder,48.44,82.09,100.0
18,Teacher,Luxurious,Academic Excellence,63.41,73.29,60.08
35,Lawyer,Family-focused,Work-Life Balance,79.5,71.08,70.7
32,Doctor,Luxurious,World Explorer,82.01,63.59,74.97
34,Marketing,Minimalist,Creative Pursuit,85.06,57.46,47.02
33,Artist,Career-driven,Entrepreneurship,71.85,99.61,73.1
34,Business Owner,Luxurious,Corporate Ladder,46.14,90.67,100.0
19,Business Owner,Balanced,Corporate Ladder,55.86,95.49,100.0
41,Software Engineer,Minimalist,Work-Life Balance,76.5,74.46,81.92
21,Artist,Balanced,Corporate Ladder,65.4,77.42,80.78
34,Software Engineer,Adventure-seeker,Entrepreneurship,76.33,79.05,49.33
50,Marketing,Family-focused,Work-Life Balance,92.13,72.64,79.23
24,Artist,Minimalist,Creative Pursuit,100.0,68.19,27.12
37,Software Engineer,Adventure-seeker,World Explorer,96.89,68.93,44.71
37,Doctor,Family-focused,Work-Life Balance,92.59,83.59,82.11
52,Scientist,Adventure-seeker,Work-Life Balance,93.67,66.42,64.38
27,Doctor,Luxurious,Creative Pursuit,78.66,66.86,80.97
46,Artist,Adventure-seeker,Work-Life Balance,95.39,67.55,64.55
26,Doctor,Minimalist,Work-Life Balance,79.27,65.1,62.78
38,Doctor,Balanced,Work-Life Balance,88.15,78.67,92.44
34,Scientist,Adventure-seeker,Academic Excellence,71.68,70.86,59.47
49,Artist,Career-driven,Academic Excellence,57.61,100.0,91.27
50,Business Owner,Adventure-seeker,Creative Pursuit,92.88,88.21,72.9
54,Lawyer,Career-driven,Entrepreneurship,67.25,100.0,99.16
29,Artist,Family-focused,Corporate Ladder,77.4,81.14,79.51
39,Doctor,Luxurious,Corporate Ladder,59.31,97.87,100.0
34,Business Owner,Career-driven,World Explorer,79.68,91.13,74.04
28,Doctor,Luxurious,Work-Life Balance,78.78,68.78,94.01
41,Writer,Family-focused,World Explorer,100.0,66.68,48.44
21,Marketing,Balanced,World Explorer,99.42,73.22,41.67
49,Business Owner,Luxurious,Creative Pursuit,85.33,91.99,96.36
38,Lawyer,Balanced,Entrepreneurship,78.55,90.25,95.05
34,Writer,Career-driven,Work-Life Balance,79.05,78.63,69.75
52,Teacher,Balanced,Corporate Ladder,61.03,100.0,86.13
26,Writer,Balanced,Work-Life Balance,87.01,68.81,60.64
37,Marketing,Luxurious,World Explorer,89.92,60.34,73.51
26,Scientist,Adventure-seeker,Corporate Ladder,62.64,79.6,64.57
48,Scientist,Minimalist,Work-Life Balance,83.65,80.28,64.66
46,Teacher,Minimalist,Creative Pursuit,95.08,71.44,47.6
21,Doctor,Family-focused,Corporate Ladder,63.23,86.5,80.93
31,Writer,Minimalist,Entrepreneurship,77.07,71.1,40.37
53,Scientist,Luxurious,World Explorer,82.15,67.91,69.41
24,Doctor,Career-driven,Creative Pursuit,70.63,83.07,72.64
28,Scientist,Family-focused,Corporate Ladder,67.42,84.37,77.68
32,Software Engineer,Balanced,Entrepreneurship,77.18,84.76,100.0
30,Marketing,Balanced,Corporate Ladder,62.53,96.13,92.36
37,Marketing,Luxurious,Corporate Ladder,47.39,85.43,91.32
55,Scientist,Career-driven,Entrepreneurship,66.3,90.56,100.0
20,Software Engineer,Family-focused,Corporate Ladder,67.97,90.19,78.47
54,Writer,Adventure-seeker,Corporate Ladder,82.24,88.24,77.6
33,Artist,Luxurious,Entrepreneurship,71.42,61.81,91.21
37,Business Owner,Family-focused,Work-Life Balance,88.72,84.45,87.94
21,Marketing,Career-driven,Entrepreneurship,68.08,76.58,55.25
21,Teacher,Adventure-seeker,World Explorer,100.0,46.5,24.71
25,Marketing,Minimalist,Work-Life Balance,80.35,61.99,62.18
35,Artist,Career-driven,Academic Excellence,69.16,93.9,76.95
37,Teacher,Family-focused,Corporate Ladder,61.33,77.69,65.63
27,Lawyer,Family-focused,World Explorer,98.36,69.69,57.03
43,Lawyer,Minimalist,Corporate Ladder,57.92,91.66,91.07
39,Writer,Minimalist,Corporate Ladder,73.29,84.86,71.22
40,Writer,Family-focused,Corporate Ladder,64.72,81.52,81.47
35,Scientist,Family-focused,Academic Excellence,76.29,72.89,59.22
35,Finance,Career-driven,Academic Excellence,63.29,100.0,100.0
28,Business Owner,Family-focused,Corporate Ladder,69.27,90.67,92.78
31,Artist,Career-driven,World Explorer,84.06,89.4,54.14
38,Marketing,Luxurious,Academic Excellence,52.01,74.88,77.87
25,Marketing,Adventure-seeker,Creative Pursuit,87.02,58.15,30.49
32,Artist,Adventure-seeker,Creative Pursuit,100.0,74.12,41.47
40,Software Engineer,Luxurious,Entrepreneurship,68.04,82.76,100.0
18,Software Engineer,Family-focused,Corporate Ladder,61.91,90.76,80.64
41,Writer,Minimalist,Creative Pursuit,97.82,72.94,50.62
24,Business Owner,Family-focused,Entrepreneurship,78.75,86.75,91.15
32,Artist,Luxurious,Academic Excellence,71.19,79.92,76.88
42,Writer,Luxurious,Academic Excellence,72.86,73.65,86.43
32,Writer,Adventure-seeker,Corporate Ladder,81.63,75.29,60.23
34,Writer,Adventure-seeker,Work-Life Balance,96.36,66.49,42.76
47,Finance,Adventure-seeker,Corporate Ladder,74.11,100.0,93.12
19,Business Owner,Balanced,Work-Life Balance,85.65,93.81,78.01
48,Teacher,Minimalist,Academic Excellence,79.83,89.62,55.07
55,Teacher,Luxurious,Work-Life Balance,92.43,70.69,89.65
52,Marketing,Adventure-seeker,World Explorer,90.55,66.92,48.15
42,Finance,Career-driven,Corporate Ladder,45.29,100.0,100.0
26,Artist,Career-driven,Corporate Ladder,48.85,94.02,88.15
36,Teacher,Balanced,Entrepreneurship,84.63,77.3,77.88
18,Doctor,Balanced,Work-Life Balance,70.34,82.39,86.07
32,Software Engineer,Balanced,Academic Excellence,67.26,100.0,90.13
26,Writer,Career-driven,Work-Life Balance,86.7,88.61,74.03
18,Software Engineer,Luxurious,Academic Excellence,63.79,75.27,92.53
38,Doctor,Career-driven,Corporate Ladder,42.17,100.0,100.0
51,Marketing,Adventure-seeker,Work-Life Balance,93.01,68.38,70.71
23,Doctor,Adventure-seeker,World Explorer,90.28,57.99,44.81
19,Business Owner,Luxurious,Academic Excellence,65.18,92.03,92.12
45,Teacher,Career-driven,Work-Life Balance,70.87,87.33,85.65
40,Finance,Luxurious,Entrepreneurship,72.49,95.42,100.0
20,Doctor,Minimalist,Entrepreneurship,80.73,77.4,70.05
38,Writer,Luxurious,Corporate Ladder,67.9,75.61,95.8
24,Business Owner,Balanced,Entrepreneurship,63.58,92.59,97.64
49,Business Owner,Family-focused,Creative Pursuit,95.47,88.47,77.38
38,Marketing,Balanced,Creative Pursuit,84.9,74.65,56.89
35,Business Owner,Minimalist,Work-Life Balance,73.13,79.22,82.41
19,Scientist,Balanced,Academic Excellence,59.58,76.87,73.96
20,Scientist,Minimalist,World Explorer,96.35,57.42,37.16
55,Business Owner,Family-focused,Work-Life Balance,75.23,80.07,100.0
44,Teacher,Minimalist,Creative Pursuit,100.0,70.25,52.45
45,Marketing,Career-driven,Creative Pursuit,69.84,82.03,76.71
52,Doctor,Career-driven,Work-Life Balance,75.47,97.53,100.0
48,Doctor,Adventure-seeker,Corporate Ladder,73.44,88.6,81.74
45,Scientist,Adventure-seeker,Academic Excellence,70.69,82.93,56.91
18,Doctor,Adventure-seeker,Entrepreneurship,81.28,81.32,52.85
53,Marketing,Adventure-seeker,World Explorer,100.0,75.66,43.04
26,Lawyer,Adventure-seeker,Academic Excellence,83.0,82.74,65.04
48,Writer,Minimalist,Work-Life Balance,83.88,76.66,60.65
43,Writer,Luxurious,Corporate Ladder,67.65,76.08,89.58
30,Finance,Luxurious,Creative Pursuit,80.02,72.71,95.81
34,Doctor,Minimalist,Work-Life Balance,74.8,75.56,69.93
39,Lawyer,Balanced,Entrepreneurship,70.54,92.13,93.1
48,Artist,Career-driven,World Explorer,88.09,94.4,64.42
25,Business Owner,Career-driven,Corporate Ladder,46.82,100.0,100.0
49,Doctor,Career-driven,World Explorer,89.9,100.0,73.0
24,Lawyer,Luxurious,Academic Excellence,63.49,79.65,87.34
31,Artist,Minimalist,World Explorer,100.0,64.98,28.25
29,Doctor,Balanced,Creative Pursuit,84.81,86.67,62.28
21,Teacher,Luxurious,Corporate Ladder,56.54,75.43,83.02
28,Business Owner,Minimalist,Corporate Ladder,56.16,98.74,89.2
53,Lawyer,Minimalist,Work-Life Balance,90.79,88.42,86.98
52,Artist,Balanced,Entrepreneurship,74.75,90.87,89.82
24,Scientist,Balanced,Corporate Ladder,50.11,90.61,85.84
35,Artist,Adventure-seeker,Work-Life Balance,100.0,71.36,57.74
23,Lawyer,Family-focused,Creative Pursuit,90.77,75.25,54.53
20,Business Owner,Adventure-seeker,Creative Pursuit,87.48,68.3,57.73
23,Lawyer,Career-driven,Creative Pursuit,83.75,95.23,71.39
37,Doctor,Adventure-seeker,Entrepreneurship,77.42,85.22,71.89
25,Finance,Adventure-seeker,Entrepreneurship,73.24,84.42,61.81
24,Writer,Adventure-seeker,Work-Life Balance,100.0,68.82,38.07
41,Lawyer,Adventure-seeker,Corporate Ladder,68.23,92.08,85.91
36,Business Owner,Family-focused,World Explorer,100.0,77.77,72.92
26,Teacher,Adventure-seeker,Entrepreneurship,94.91,71.77,30.59
53,Scientist,Minimalist,Entrepreneurship,69.08,86.79,83.2
45,Artist,Balanced,Entrepreneurship,77.02,95.2,94.96
19,Doctor,Career-driven,Entrepreneurship,61.48,88.24,80.41
36,Marketing,Luxurious,Work-Life Balance,69.46,72.83,76.08
48,Artist,Minimalist,World Explorer,94.93,57.69,40.6
25,Finance,Luxurious,World Explorer,94.7,80.57,81.67
37,Software Engineer,Family-focused,World Explorer,97.62,69.51,56.75
18,Writer,Minimalist,Work-Life Balance,85.4,57.0,52.9
40,Software Engineer,Career-driven,Entrepreneurship,68.71,95.33,91.7
51,Doctor,Family-focused,Corporate Ladder,68.61,89.43,100.0
50,Scientist,Family-focused,Entrepreneurship,66.46,86.5,95.74
29,Writer,Minimalist,Entrepreneurship,74.71,70.0,48.09
39,Software Engineer,Family-focused,Corporate Ladder,56.59,93.02,96.79
48,Software Engineer,Luxurious,Corporate Ladder,46.78,90.39,100.0
38,Software Engineer,Career-driven,Work-Life Balance,60.86,97.47,95.85
25,Teacher,Balanced,Academic Excellence,81.73,82.74,55.29
26,Doctor,Luxurious,Creative Pursuit,81.01,66.49,73.84
52,Artist,Career-driven,Creative Pursuit,84.07,98.46,76.08
29,Lawyer,Balanced,Work-Life Balance,74.83,88.69,88.66
36,Writer,Balanced,Work-Life Balance,82.25,77.78,61.46
39,Artist,Career-driven,Corporate Ladder,63.09,98.26,100.0
26,Doctor,Luxurious,Creative Pursuit,72.27,81.53,70.2
